DateTime,Open,High,Low,Close,Ticks(from bar),Volume(from bar),Goose Zones_MA Line,Goose Zones_Upper Keltner,Goose Zones_Lower Keltner,Goose Zones_Short Trigger,Goose Zones_Top of Range,Goose Zones_Long Trigger,Goose Zones_Bottom of Range,Goose Zones_Arrow Marker,
4/12/2024 9:00:00 AM -06:00,38515,38528,38302,38329,26174,28060,39129.5756165921,39907.8153979553,38351.3358352288,38844.2,38956.4,38619.8,38507.6,,
4/12/2024 10:00:00 AM -06:00,38329,38454,38318,38414,13931,15448,39122.4554612031,39905.8072845429,38339.1036378634,38844.2,38956.4,38619.8,38507.6,,
4/12/2024 11:00:00 AM -06:00,38414,38428,38233,38234,15535,16958,39113.6151083553,39907.6052220101,38319.6249947005,38844.2,38956.4,38619.8,38507.6,,
4/12/2024 12:00:00 PM -06:00,38234,38265,38134,38208,15594,16731,39104.6040127498,39903.0768118408,38306.1312136587,38844.2,38956.4,38619.8,38507.6,,
4/12/2024 1:00:00 PM -06:00,38208,38280,38168,38175,12603,13276,39095.3542215781,39896.4690823698,38294.2393607865,38844.2,38956.4,38619.8,38507.6,,
4/12/2024 2:00:00 PM -06:00,38175,38254,38132,38247,19722,20951,39086.91288604,39891.588792993,38282.2369790871,38844.2,38956.4,38619.8,38507.6,,
4/12/2024 3:00:00 PM -06:00,38246,38262,38226,38230,3192,3684,39078.3863896615,39878.4585562468,38278.3142230763,38844.2,38956.4,38619.8,38507.6,,
4/14/2024 5:00:00 PM -06:00,38150,38364,38149,38324,3514,3901,39070.8800574261,39883.3146900155,38258.4454248368,38431.6,38625.2,38044.4,37850.8,,
4/14/2024 6:00:00 PM -06:00,38324,38357,38317,38330,1107,1148,39063.5081165562,39871.6399169805,38255.3763161319,38431.6,38625.2,38044.4,37850.8,,
4/14/2024 7:00:00 PM -06:00,38330,38346,38261,38312,1740,1866,39056.0304238541,39864.155937707,38247.9049100012,38431.6,38625.2,38044.4,37850.8,,
4/14/2024 8:00:00 PM -06:00,38316,38318,38259,38308,1155,1226,39048.5873350596,39854.2489134512,38242.9257566679,38431.6,38625.2,38044.4,37850.8,,
4/14/2024 9:00:00 PM -06:00,38307,38324,38300,38301,869,893,39041.1486551087,39841.0623570985,38241.234953119,38431.6,38625.2,38044.4,37850.8,,
4/14/2024 10:00:00 PM -06:00,38301,38329,38288,38320,730,748,39033.9730466002,39829.8030301622,38238.1430630382,38431.6,38625.2,38044.4,37850.8,,
4/14/2024 11:00:00 PM -06:00,38320,38357,38316,38350,824,889,39027.167344644,39818.9542437924,38235.3804454955,38431.6,38625.2,38044.4,37850.8,,
4/15/2024 12:00:00 AM -06:00,38352,38388,38352,38379,1501,1636,39020.7179183291,39808.2183806701,38233.2174559881,38431.6,38625.2,38044.4,37850.8,,
4/15/2024 1:00:00 AM -06:00,38381,38407,38356,38372,2128,2320,39014.2630136691,39798.7485460366,38229.7774813016,38431.6,38625.2,38044.4,37850.8,,
4/15/2024 2:00:00 AM -06:00,38372,38428,38356,38419,3383,3595,39008.3399986077,39791.8256749317,38224.8543222837,38431.6,38625.2,38044.4,37850.8,,
4/15/2024 3:00:00 AM -06:00,38419,38435,38353,38353,3943,4300,39001.8192026017,39785.2602453304,38218.3781598729,38431.6,38625.2,38044.4,37850.8,,
4/15/2024 4:00:00 AM -06:00,38354,38379,38306,38333,2860,3137,38995.1642851629,39777.7103921431,38212.6181781827,38431.6,38625.2,38044.4,37850.8,,
4/15/2024 5:00:00 AM -06:00,38332,38359,38317,38334,1725,1859,38988.5855360568,39767.315263863,38209.8558082505,38431.6,38625.2,38044.4,37850.8,,
4/15/2024 6:00:00 AM -06:00,38334,38458,38334,38452,5943,6404,38983.246376494,39765.9489428296,38200.5438101584,38431.6,38625.2,38044.4,37850.8,,
4/15/2024 7:00:00 AM -06:00,38451,38578,38413,38530,10096,11132,38978.7364623,39769.2479583238,38188.2249662763,38431.6,38625.2,38044.4,37850.8,,
4/15/2024 8:00:00 AM -06:00,38530,38637,38530,38578,24609,26404,38974.7490348145,39767.5091726688,38181.9888969601,38431.6,38625.2,38044.4,37850.8,,
4/15/2024 9:00:00 AM -06:00,38579,38586,38310,38313,31026,32939,38968.1644673039,39779.1259968214,38157.2029377864,38431.6,38625.2,38044.4,37850.8,,
4/15/2024 10:00:00 AM -06:00,38315,38413,38292,38389,15166,16016,38962.4016367834,39776.7317082958,38148.0715652711,38431.6,38625.2,38044.4,37850.8,,
4/15/2024 11:00:00 AM -06:00,38390,38415,38230,38263,13330,13984,38955.4424165169,39779.1572634371,38131.7275695967,38431.6,38625.2,38044.4,37850.8,,
4/15/2024 12:00:00 PM -06:00,38263,38302,37982,38079,30106,31492,38946.7215964521,39792.4890319601,38100.954160944,38431.6,38625.2,38044.4,37850.8,,
